load time,39314
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
225,0,22,22,0,0,23
226,0,21,22,0,0,22
227,0,21,22,0,0,23
228,0,22,22,0,0,23
229,0,22,22,0,0,23
230,0,22,22,0,0,23
231,0,23,23,0,0,24
232,0,22,22,0,0,23
233,0,22,23,0,0,24
234,0,22,22,0,0,23
235,0,21,22,0,0,23
236,0,21,22,0,0,23
237,0,21,21,0,0,22
238,0,22,22,0,0,23
239,0,21,22,0,0,23
240,0,22,22,0,0,23
241,0,22,22,0,0,23
242,0,22,22,0,0,23
243,0,22,22,0,0,23
244,0,21,21,0,0,22
245,0,22,22,0,0,23
246,0,21,22,0,0,23
247,0,22,22,0,0,23
248,0,21,22,0,0,22
249,0,22,22,0,0,23
250,0,22,22,0,0,23
251,0,22,22,0,0,23
252,0,22,23,0,0,24
253,0,21,21,0,0,22
254,0,21,22,0,0,23
255,0,21,22,0,0,23
256,0,21,22,0,0,23
257,0,22,22,0,0,23
258,0,22,22,0,0,23
259,0,22,22,0,0,23
260,0,22,22,0,0,23
261,0,22,22,0,0,23
262,0,21,21,0,0,22
263,0,21,22,0,0,23
264,0,22,22,0,0,23
265,0,21,22,0,0,23
266,0,23,23,0,0,24
267,0,22,23,0,0,23
268,0,21,22,0,0,22
269,0,21,22,0,0,22
270,0,22,22,0,0,23
271,0,22,23,0,0,24
272,0,21,22,0,0,23
273,0,22,22,0,0,23
274,0,21,22,0,0,23
275,0,22,22,0,0,23
276,0,21,22,0,0,22
277,0,22,22,0,0,23
278,0,21,22,0,0,23
279,0,22,22,0,0,23
280,0,22,22,0,0,23
281,0,24,24,0,0,25
282,0,23,23,0,0,24
283,0,22,22,0,0,23
284,0,22,22,0,0,23
285,0,22,22,0,0,23
286,0,22,22,0,0,23
287,0,22,22,0,0,23
288,0,21,22,0,0,23
289,0,21,22,0,0,22
290,0,21,21,0,0,22
291,0,21,22,0,0,23
292,0,21,22,0,0,23
293,0,22,22,0,0,23
294,0,22,22,0,0,23
295,0,22,22,0,0,23
296,0,21,22,0,0,22
297,0,22,22,0,0,23
298,0,22,23,0,0,24
299,0,22,22,0,0,23
300,0,22,22,0,0,23
301,0,22,22,0,0,23
302,0,22,23,0,0,24
303,0,22,22,0,0,23
304,0,22,22,0,0,23
305,0,22,22,0,0,23
306,0,22,23,0,0,24
307,0,21,22,0,0,22
308,0,21,21,0,0,22
309,0,22,22,0,0,23
310,0,22,22,0,0,23
311,0,22,22,0,0,23
312,0,22,22,0,0,23
313,0,22,22,0,0,23
314,0,22,22,0,0,23
315,0,21,22,0,0,22
316,0,22,22,0,0,23
317,0,22,22,0,0,23
318,0,21,22,0,0,23
319,0,22,22,0,0,23
320,0,22,22,0,0,23
321,0,21,21,0,0,22
322,0,21,22,0,0,23
323,0,22,23,0,0,24
324,0,22,23,0,0,23
325,0,22,22,0,0,23
326,0,22,22,0,0,23
327,0,22,22,0,0,23
328,0,22,23,0,0,24
329,0,22,22,0,0,23
330,0,22,22,0,0,23
331,0,21,21,0,0,22
332,0,21,22,0,0,23
333,0,22,22,0,0,23
334,0,22,22,0,0,23
335,0,22,22,0,0,23
336,0,22,22,0,0,23
337,0,22,22,0,0,23
338,0,22,23,0,0,24
339,0,23,23,0,0,24
340,0,21,22,0,0,23
341,0,22,22,0,0,23
342,0,21,22,0,0,23
343,0,22,22,0,0,23
344,0,21,21,0,0,22
345,0,21,22,0,0,23
346,0,21,21,0,0,22
347,0,21,22,0,0,23
348,0,22,22,0,0,23
349,0,21,22,0,0,23
350,0,21,21,0,0,22
351,0,21,22,0,0,23
352,0,21,21,0,0,22
353,0,22,22,0,0,23
354,0,21,22,0,0,23
355,0,22,23,0,0,24
356,0,21,22,0,0,22
357,0,22,23,0,0,24
358,0,22,22,0,0,23
359,0,22,22,0,0,23
360,0,22,22,0,0,23
361,0,21,22,0,0,23
362,0,22,23,0,0,24
363,0,22,22,0,0,23
364,0,21,22,0,0,23
365,0,22,23,0,0,24
366,0,21,22,0,0,23
Total Time,18425
