load time,38618
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
222,0,23,23,0,78,102
223,0,23,23,0,78,103
224,0,23,23,0,79,104
225,0,23,24,0,78,103
226,0,23,23,0,8373,8397
227,0,23,23,0,79,104
228,0,24,24,0,81,107
229,0,23,24,0,81,106
230,0,24,24,0,8387,8413
231,0,23,23,0,81,106
232,0,23,24,0,81,106
233,0,23,23,0,82,106
234,0,23,23,0,82,107
235,0,23,23,1,8464,8488
236,0,23,24,0,86,111
237,0,23,23,0,84,109
238,0,23,24,0,85,110
239,0,23,24,1,8415,8440
240,0,22,23,0,95,119
241,0,23,24,1,101,126
242,0,23,23,1,99,124
243,0,23,23,0,87,112
244,0,22,23,0,8373,8397
245,0,22,23,0,88,112
246,0,23,23,0,88,113
247,0,23,23,0,105,130
248,0,23,23,1,8819,8844
249,0,23,23,0,89,113
250,0,23,24,0,90,115
251,0,23,23,0,91,116
252,0,23,24,0,8517,8542
253,0,23,23,1,93,118
254,0,23,23,0,92,117
255,0,23,23,0,92,116
256,0,23,23,0,8289,8314
257,0,23,23,0,95,120
258,0,23,24,0,96,122
259,0,23,23,0,97,122
260,0,23,24,0,8592,8617
261,0,24,24,0,99,124
262,0,23,24,0,98,123
263,0,23,24,0,8303,8328
264,0,22,23,0,99,123
265,0,23,23,0,101,126
266,0,23,23,1,101,126
267,0,23,23,0,8713,8737
268,0,23,23,0,102,127
269,0,23,23,0,101,126
270,0,23,23,0,8864,8889
271,0,22,23,0,103,127
272,0,23,23,1,104,128
273,0,23,24,0,104,129
274,0,23,23,0,9008,9032
275,0,24,24,0,106,132
276,0,23,23,0,106,131
277,0,24,24,0,8447,8472
278,0,23,23,0,106,131
279,0,24,24,0,106,132
280,0,23,23,0,8931,8956
281,0,23,23,0,108,132
282,0,23,23,1,109,133
283,0,23,24,0,109,134
284,0,23,23,1,8403,8427
285,0,24,25,0,111,137
286,0,24,24,1,111,136
287,0,23,24,0,8355,8380
288,0,22,23,0,111,135
289,0,23,23,1,111,136
290,0,22,23,0,8354,8378
291,0,23,23,1,133,157
292,0,23,24,0,113,138
293,0,23,23,1,8375,8401
294,0,22,23,0,114,139
295,0,23,23,1,136,161
296,0,23,23,1,8331,8356
297,0,23,23,0,117,141
298,0,23,23,0,117,141
299,0,23,23,1,8336,8361
300,0,23,23,0,117,142
301,0,23,23,1,120,145
302,0,23,23,0,8291,8316
303,0,23,23,1,121,146
304,0,23,23,1,122,147
305,0,23,23,0,8492,8516
306,0,24,24,0,121,146
307,0,23,24,1,122,147
308,0,23,24,0,8334,8360
309,0,23,23,0,122,147
310,0,23,23,0,123,148
